Temperature,Frequency
43.8 ,188.2820K
43.9 ,188.6060K
44.0 ,188.9290K
44.1 ,189.2670K
44.2 ,189.5960K
44.3 ,189.9320K
44.4 ,190.2620K
44.5 ,190.6050K
44.6 ,190.9370K
44.7 ,191.2790K
44.8 ,191.6110K
44.9 ,191.9570K
45.0 ,192.3030K
45.1 ,192.6660K
45.2 ,193.0160K
45.3 ,193.3820K
45.4 ,193.7160K
45.5 ,194.0840K
45.6 ,194.4340K
45.7 ,194.7890K
45.8 ,195.1480K
45.9 ,195.5230K
46.0 ,195.8920K
46.1 ,196.2520K
46.2 ,196.6300K
46.3 ,196.9930K
46.4 ,197.3660K
46.5 ,197.7490K
46.6 ,198.1300K
46.7 ,198.5050K
46.8 ,198.8870K
46.9 ,199.2710K
47.0 ,199.6510K
47.1 ,200.0430K
47.2 ,200.4450K
47.3 ,200.8360K
47.4 ,201.2270K
47.5 ,201.6280K
47.6 ,202.0360K
47.7 ,202.4450K
47.8 ,202.8400K
47.9 ,203.2480K
48.0 ,203.6560K
48.1 ,204.0780K
48.2 ,204.5040K
48.3 ,204.8980K
48.4 ,205.3100K
48.5 ,205.7510K
48.6 ,206.1630K
48.7 ,206.5940K
48.8 ,207.0260K
48.9 ,207.4500K
49.0 ,207.9060K
49.1 ,208.3130K
49.2 ,208.7780K
49.3 ,209.2240K
49.4 ,209.6710K
49.5 ,210.1090K
49.6 ,210.5700K
49.7 ,211.0140K
49.8 ,211.4730K
49.9 ,211.9600K
50.0 ,212.4160K
50.1 ,212.8710K
50.2 ,213.3660K
50.3 ,213.8320K
50.4 ,214.2840K
50.5 ,214.7680K
50.6 ,215.2450K
50.7 ,215.7530K
50.8 ,216.2440K
50.9 ,216.7380K
51.0 ,217.2200K
51.1 ,217.7160K
51.2 ,218.2380K
51.3 ,218.7310K
51.4 ,219.2280K
51.5 ,219.7630K
51.6 ,220.2560K
51.7 ,220.7750K
51.8 ,221.3450K
51.9 ,221.8430K
52.0 ,222.4090K
52.1 ,222.8900K
52.2 ,223.4800K
52.3 ,224.0100K
52.4 ,224.5550K
52.5 ,225.0900K
52.6 ,225.6800K
52.7 ,226.2110K
52.8 ,226.7780K
52.9 ,227.3280K
53.0 ,227.8840K
53.1 ,228.4860K
53.2 ,229.0760K
53.3 ,229.6820K
53.4 ,230.2300K
53.5 ,230.8350K
53.6 ,231.4470K
53.7 ,232.0480K
53.8 ,232.6620K
53.9 ,233.2660K
54.0 ,233.8870K
54.1 ,234.5260K
54.2 ,235.1400K
54.3 ,235.7660K
54.4 ,236.4140K
54.5 ,237.0480K
54.6 ,237.6090K
54.7 ,238.3710K
54.8 ,238.9910K
54.9 ,239.6640K
55.0 ,240.3380K
55.1 ,240.9800K
55.2 ,241.6840K
55.3 ,242.3560K
55.4 ,243.0270K
55.5 ,243.7170K
55.6 ,244.4300K
55.7 ,245.1460K
55.8 ,245.8680K
55.9 ,246.5880K
56.0 ,247.3320K
56.1 ,248.0520K
56.2 ,248.7960K
56.3 ,249.5250K
56.4 ,250.2610K
56.5 ,251.0330K
56.6 ,251.8190K
56.7 ,252.5630K
56.8 ,253.3520K
56.9 ,254.1920K
57.0 ,254.9470K
57.1 ,255.7460K
57.2 ,256.5500K
57.3 ,257.3680K
57.4 ,258.2000K
57.5 ,259.0250K
57.6 ,259.8300K
57.7 ,260.7130K
57.8 ,261.5300K
57.9 ,262.4180K
58.0 ,263.2580K
58.1 ,264.1670K
58.2 ,265.0680K
58.3 ,265.9730K
58.4 ,266.8560K
58.5 ,267.7790K
58.6 ,268.6950K
58.7 ,269.6830K
58.8 ,270.5980K
58.9 ,271.5110K
59.0 ,272.5340K
59.1 ,273.4880K
59.2 ,274.4490K
59.3 ,275.4290K
59.4 ,276.4350K
59.5 ,277.4640K
59.6 ,278.4670K
59.7 ,279.5090K
59.8 ,280.5590K
59.9 ,281.6340K
60.0 ,282.6820K
